,User_id,TotalService,FirstServiceid,FirstServiceDate,SecondServiceid,SecondServiceDate,LastServiceid,LastServiceDate
0,2464231,10,18.0,2018-01-07,667.0,2018-01-16,982.0,2018-07-23
1,3676235,9,273.0,2018-01-05,481.0,2018-01-06,355.0,2018-04-12
2,4958104,7,946.0,2018-01-22,310.0,2018-01-22,268.0,2018-06-30
3,11642209,14,20.0,2018-01-01,666.0,2018-01-02,666.0,2018-06-29
4,18246539,4,984.0,2018-03-22,269.0,2018-03-22,666.0,2018-04-01
5,20831230,4,667.0,2018-01-01,11.0,2018-01-01,1366.0,2018-02-08
6,21307673,10,1014.0,2018-01-03,981.0,2018-01-03,981.0,2018-07-27
7,25674126,12,1136.0,2018-01-02,333.0,2018-01-02,666.0,2018-07-26
8,30456022,2,481.0,2018-01-03,18.0,2018-01-03,18.0,2018-03-03
9,31485023,4,1014.0,2018-01-03,487.0,2018-01-03,1014.0,2018-01-10
10,36142806,14,1014.0,2018-01-04,487.0,2018-01-04,268.0,2018-07-03
11,36301869,25,273.0,2018-01-04,668.0,2018-01-04,18.0,2018-07-26
12,38411702,7,2.0,2017-05-23,2.0,2017-06-12,981.0,2018-06-21
13,40708013,9,667.0,2018-01-29,981.0,2018-02-16,10.0,2018-07-25
14,40708072,25,20.0,2018-01-01,981.0,2018-01-20,125.0,2018-07-16
15,40709217,1,20.0,2018-01-02,20.0,2018-01-02,20.0,2018-01-02
16,40710302,5,12.0,2018-05-21,481.0,2018-05-23,285.0,2018-06-24
17,40713102,11,299.0,2018-01-02,487.0,2018-01-02,271.0,2018-07-20
18,40715261,11,273.0,2018-01-02,658.0,2018-01-02,271.0,2018-04-27
19,40716114,2,1136.0,2018-01-02,1136.0,2018-01-02,1136.0,2018-01-02
20,40717503,2,1136.0,2018-01-02,1366.0,2018-04-18,1366.0,2018-04-18
21,40720159,8,20.0,2018-01-08,1014.0,2018-01-08,1014.0,2018-07-19
22,40721453,7,981.0,2018-02-11,742.0,2018-02-11,3998.0,2018-07-23
23,40721654,6,1014.0,2018-01-03,20.0,2018-01-03,270.0,2018-06-30
24,40721940,1,11.0,2018-01-22,11.0,2018-06-16,11.0,2018-06-16
25,40722339,13,333.0,2018-04-18,333.0,2018-04-18,269.0,2018-07-26
26,40725207,4,4.0,2018-01-04,667.0,2018-01-21,273.0,2018-07-07
27,40725355,5,299.0,2018-06-08,1014.0,2018-06-09,983.0,2018-06-25
28,40726229,4,19.0,2018-01-05,487.0,2018-01-05,1014.0,2018-01-08
29,40726664,4,1014.0,2018-03-29,299.0,2018-04-08,299.0,2018-07-25
30,40727154,3,487.0,2018-01-04,742.0,2018-01-04,487.0,2018-01-06
31,40728678,7,20.0,2018-01-12,268.0,2018-01-12,270.0,2018-06-30
32,40729435,3,65.0,2018-01-04,946.0,2018-01-04,946.0,2018-01-25
33,40732990,6,487.0,2018-01-05,742.0,2018-01-05,271.0,2018-02-08
34,40733443,5,299.0,2018-01-05,487.0,2018-01-05,981.0,2018-02-18
35,40740734,3,487.0,2018-01-06,18.0,2018-01-06,1366.0,2018-02-08
36,40741577,5,47.0,2018-06-25,299.0,2018-06-25,47.0,2018-07-18
37,40743306,13,273.0,2018-01-06,481.0,2018-01-13,271.0,2018-06-30
38,40743475,3,981.0,2018-01-06,20.0,2018-01-06,981.0,2018-01-06
39,40745532,4,299.0,2018-01-07,271.0,2018-01-20,271.0,2018-05-31
40,40747002,6,20.0,2018-01-07,667.0,2018-01-07,20.0,2018-07-26
41,40748360,8,18.0,2018-01-08,66.0,2018-02-03,66.0,2018-06-05
42,40749915,7,299.0,2018-01-11,487.0,2018-01-11,666.0,2018-07-05
43,40750022,7,13.0,2018-01-07,268.0,2018-01-08,667.0,2018-06-29
